"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
3.072748751E0;2.048062592E2;3.398812561E2;1.141687546E2;4.129157015E2
3.082748751E0;2.048625031E2;3.398812561E2;1.141687546E2;4.129436014E2
3.092748751E0;2.048625031E2;3.400687561E2;1.141125031E2;4.130823978E2
3.102748751E0;2.050500031E2;3.401062622E2;1.141500015E2;4.132166456E2
3.112748751E0;2.052562561E2;3.401062622E2;1.142625046E2;4.133501182E2
3.122748751E0;2.054437561E2;3.402375183E2;1.142625046E2;4.135512371E2
3.132748751E0;2.056312561E2;3.401812744E2;1.142812576E2;4.136033351E2
3.142748751E0;2.057812653E2;3.403312683E2;1.144875031E2;4.138582966E2
3.152748751E0;2.057812653E2;3.400125122E2;1.143937531E2;4.135702701E2
3.162748751E0;2.056687622E2;3.399937744E2;1.143375015E2;4.134833378E2
3.172748751E0;2.057437592E2;3.397500000E2;1.143750076E2;4.133306174E2
3.182748751E0;2.056500092E2;3.398250122E2;1.145250015E2;4.133871565E2
3.192748751E0;2.054437561E2;3.398437500E2;1.143750076E2;4.132584587E2
3.202748751E0;2.052187653E2;3.397500000E2;1.144125061E2;4.130799265E2
3.212748751E0;2.051812592E2;3.399187622E2;1.145250015E2;4.132312790E2
3.222748751E0;2.051625061E2;3.397687683E2;1.144500046E2;4.130778055E2
3.232748751E0;2.051250153E2;3.399187622E2;1.145437546E2;4.132085533E2
3.242748751E0;2.053312531E2;3.400875244E2;1.144687576E2;4.134290075E2
3.252748751E0;2.052937622E2;3.402187500E2;1.144500046E2;4.135131560E2
3.262748751E0;2.052750092E2;3.402375183E2;1.141875076E2;4.134467138E2
3.272748751E0;2.054250031E2;3.404062500E2;1.142062531E2;4.136652211E2
3.282748751E0;2.054062653E2;3.403312683E2;1.140937576E2;4.135631651E2
3.292748751E0;2.052000122E2;3.401625061E2;1.140375061E2;4.133063372E2
3.302748751E0;2.049187622E2;3.402000122E2;1.140750046E2;4.132080034E2
3.312748751E0;2.049187622E2;3.402000122E2;1.138312531E2;4.131407770E2
3.322748751E0;2.047125092E2;3.402750244E2;1.139062576E2;4.131209740E2
3.332748751E0;2.049187622E2;3.400125122E2;1.139250031E2;4.130122442E2
3.342748751E0;2.050125122E2;3.400687561E2;1.138312531E2;4.130792215E2
3.352748751E0;2.047875061E2;3.399750061E2;1.139250031E2;4.129162551E2
3.362748751E0;2.047312622E2;3.400687561E2;1.139625015E2;4.129759077E2
3.372748751E0;2.047875061E2;3.400687561E2;1.140000076E2;4.130141442E2
3.382748751E0;2.050500031E2;3.402375183E2;1.140375061E2;4.132936310E2
